"dow","hour","num_submissions","avg_score","med_score","perc_greater_10"
0,0,4025,12.0872049689440994,2,0.17391304347826086957
0,1,3899,11.6070787381379841,2,0.15901513208515003847
0,2,3502,11.6436322101656196,2,0.15790976584808680754
0,3,3546,11.1001128031584884,2,0.15736040609137055838
0,4,3571,11.8462615513861663,2,0.15653878465415849902
0,5,3666,11.2536824877250409,1,0.15548281505728314239
0,6,3765,12.1309428950863214,2,0.17264276228419654714
0,7,4336,13.2691420664206642,2,0.18104243542435424354
0,8,4900,13.5600000000000000,2,0.17938775510204081633
0,9,5569,14.3379421799245825,2,0.19734243131621476028
0,10,6615,15.0296296296296296,2,0.20030234315948601663
0,11,7236,13.8754836926478718,2,0.19776119402985074627
0,12,7706,13.9957176226317155,2,0.19127952245003893070
0,13,7844,14.5283018867924528,2,0.19722080571137174911
0,14,7942,14.5061697305464618,2,0.19843868043314026694
0,15,7646,13.2410410672246926,2,0.18990321736855872352
0,16,7435,13.7662407531943510,2,0.19273705447209145931
0,17,7272,13.7854785478547855,2,0.18028052805280528053
0,18,6440,13.4889751552795031,2,0.18990683229813664596
0,19,6164,13.7850421804023361,2,0.19046073977936404932
0,20,6137,13.1259573081310086,2,0.18657324425615121395
0,21,6140,13.7428338762214984,2,0.17931596091205211726
0,22,6448,12.3138957816377171,2,0.16764888337468982630
0,23,6325,11.2523320158102767,2,0.15636363636363636364
1,0,6426,10.5334578275754746,2,0.15577342047930283224
1,1,6202,10.0403095775556272,1,0.13801999355046759110
1,2,6588,9.0570734669095325,1,0.12310261080752884032
1,3,6622,9.2231954092419209,1,0.11507097553609181516
1,4,6873,10.4636985304815946,1,0.12454532227557107522
1,5,7264,9.9435572687224670,1,0.11729074889867841410
1,6,7712,10.2230290456431535,1,0.13692946058091286307
1,7,9086,10.6853400836451684,1,0.14054589478318291878
1,8,11727,11.4371109405645093,1,0.14487933827918478724
1,9,14727,11.8210769335234603,1,0.14911387247911998370
1,10,16816,10.9515342530922931,1,0.14147240723120837298
1,11,17661,10.8945133344657720,2,0.13351452352641413284
1,12,18068,10.4587668806730131,2,0.13189063537746291787
1,13,17408,11.7230583639705882,2,0.14033777573529411765
1,14,16215,11.1428923835954363,2,0.13610854147394387912
1,15,15085,11.2412330129267484,2,0.13384156446801458402
1,16,14368,10.5510857461024499,2,0.12660077951002227171
1,17,13015,10.0149058778332693,2,0.12554744525547445255
1,18,10922,10.1913568943416957,2,0.12781541842153451749
1,19,9179,10.2310709227584704,2,0.13106002832552565639
1,20,8459,10.4046577609646530,2,0.13524057217165149545
1,21,8068,10.1181209717402082,2,0.12989588497768963808
1,22,7840,10.6418367346938776,2,0.13635204081632653061
1,23,7809,10.0395697272378025,2,0.12485593545908567038
2,0,7583,9.0614532506923381,2,0.12040089674271396545
2,1,7214,8.6792348211810369,1,0.11394510673690047131
2,2,7264,8.2940528634361233,1,0.10324889867841409692
2,3,7471,8.9578369696158479,1,0.10306518538348280016
2,4,7609,9.1428571428571429,1,0.10816138783020107767
2,5,7926,8.1534191269240474,1,0.10169063840524854908
2,6,8563,9.8604461053369146,1,0.11654793880649305150
2,7,10015,10.8837743384922616,1,0.13250124812780828757
2,8,12381,11.1965107826508360,1,0.14013407640739843308
2,9,16249,11.1930580343405748,1,0.13637762323835312942
2,10,18016,10.4150754884547069,1,0.13271536412078152753
2,11,19261,10.2223145215720887,2,0.12948445044390218576
2,12,19480,11.0436858316221766,2,0.13490759753593429158
2,13,18699,11.5972511899032034,2,0.13867051713995400824
2,14,17541,10.4975771050681261,2,0.12861296391311783821
2,15,15733,10.3992245598423695,2,0.12648573062988622640
2,16,14982,10.2396208783873982,2,0.12868775864370578027
2,17,13264,9.6482961399276236,2,0.12085343787696019300
2,18,10980,10.4979052823315118,2,0.12185792349726775956
2,19,9425,10.0658885941644562,2,0.13188328912466843501
2,20,8499,10.2863866337216143,2,0.13154488763383927521
2,21,8085,9.9915893630179344,2,0.12455163883735312307
2,22,8005,10.1068082448469706,2,0.13029356652092442224
2,23,7831,8.8604265100242625,2,0.12258970757246839484
3,0,7422,9.4102667744543250,2,0.12193478846672056050
3,1,7361,8.7106371416927048,1,0.10419779921206357832
3,2,7234,8.7336190212883605,1,0.10658003870611003594
3,3,7159,8.6185221399636821,1,0.10350607626763514457
3,4,7735,7.9934065934065934,1,0.09295410471881060116
3,5,7885,9.0573240329740013,1,0.10691185795814838301
3,6,8502,9.1827805222300635,1,0.11550223476828981416
3,7,9687,10.7541034375967792,1,0.12883245586868999690
3,8,12352,11.4321567357512953,1,0.14240608808290155440
3,9,15651,10.9199412178135582,1,0.14069388537473643857
3,10,17695,10.9936705283978525,1,0.13664877083922011868
3,11,18522,10.3250728862973761,2,0.13103336572724327826
3,12,18870,10.9960254372019078,2,0.13407525172231054584
3,13,18349,11.3100986429778190,2,0.13412175050411466565
3,14,17088,10.6774929775280899,2,0.13278323970037453184
3,15,15429,10.8250048609760840,2,0.12703350832847235725
3,16,14763,9.9840140892772472,2,0.12666802140486351013
3,17,13294,10.0148187152098691,2,0.12336392357454490748
3,18,10917,9.6916735366859027,2,0.12778235779060181369
3,19,9551,10.3644644539838760,2,0.13024814155585802534
3,20,8376,10.2394937917860554,2,0.13120821394460362942
3,21,8093,11.0287903126158409,2,0.13134807858643271963
3,22,7755,9.7293359123146357,2,0.12482269503546099291
3,23,7445,10.2370718603089322,2,0.12585627938213566152
4,0,7112,9.1294994375703037,2,0.12176602924634420697
4,1,6898,8.8756161206146709,1,0.10669759350536387359
4,2,7082,8.2629200790737080,1,0.09983055634001694437
4,3,7218,8.5171792740371294,1,0.09794957051814907177
4,4,7410,8.7365721997300945,1,0.09487179487179487179
4,5,7593,9.6284735940998288,1,0.10904780719083366258
4,6,8079,10.7008293105582374,1,0.12031191979205347196
4,7,9719,11.3424220598827040,1,0.12933429365161024797
4,8,12031,11.0594298063336381,1,0.14188346770841991522
4,9,15065,11.6168602721539993,1,0.14225024892134085629
4,10,17275,10.7284515195369030,1,0.13383502170767004342
4,11,18285,10.3719442165709598,2,0.12742685261143013399
4,12,18530,10.7825148407987048,2,0.13777657852131678359
4,13,18174,11.2794651700231099,2,0.13442280180477605370
4,14,16745,10.6238877276799044,2,0.12905344879068378620
4,15,15103,10.7777262795471098,2,0.13063629742435277759
4,16,14362,10.0315415680267372,2,0.12505222113911711461
4,17,12894,10.6211416162556228,2,0.12090894989917791221
4,18,10666,10.4545284080255016,2,0.12910181886367897994
4,19,9178,10.0066463281760732,2,0.12835040313793854870
4,20,8244,11.3941048034934498,2,0.13488597768073750607
4,21,7626,9.4956726986624705,2,0.12562286913191712562
4,22,7360,9.1623641304347826,2,0.12146739130434782609
4,23,7095,9.9613812544045102,2,0.12741367159971811135
5,0,6781,9.9886447426633240,2,0.11974635009585606843
5,1,6696,8.3618578255675030,1,0.10797491039426523297
5,2,6753,7.6626684436546720,1,0.10158448097142010958
5,3,6747,8.8022824959241144,1,0.10345338669038091003
5,4,7065,8.7631988676574664,1,0.10969568294409058740
5,5,7298,10.8295423403672239,1,0.11715538503699643738
5,6,7409,9.7361317316776893,1,0.12592792549601835605
5,7,8719,11.1546048858814084,1,0.13659823374240165157
5,8,11053,11.5698905274586085,1,0.14412376730299466208
5,9,13485,11.9634408602150538,1,0.14549499443826473860
5,10,15115,10.8537876281839233,1,0.13721468739662586834
5,11,16195,10.4177832664402593,2,0.13189255943192343316
5,12,16026,10.7905278921752153,2,0.13846249844003494322
5,13,15535,11.3891857096878017,2,0.14193756034760218861
5,14,14487,10.7708980465244702,2,0.14205839718368192172
5,15,13099,10.8893045270631346,2,0.13924727078402931521
5,16,12148,10.2444846888376688,2,0.13961145867632532104
5,17,10729,10.4493429024140181,2,0.13803709572187529127
5,18,8717,9.7679247447516347,2,0.13594126419639784329
5,19,7432,10.1660387513455328,2,0.13455328310010764263
5,20,6330,9.9821484992101106,2,0.13886255924170616114
5,21,5552,10.4457853025936599,2,0.14211095100864553314
5,22,5096,9.8799058084772370,2,0.13343799058084772370
5,23,5067,9.9109926978488257,2,0.13084665482534043813
6,0,4778,9.5244872331519464,2,0.12076182503139388866
6,1,4584,9.0303228621291449,1,0.12325479930191972077
6,2,4415,8.6835787089467724,1,0.10554926387315968290
6,3,4137,8.9806623156876964,1,0.10853275320280396423
6,4,4127,8.8584928519505694,1,0.11291495032711412648
6,5,4105,8.9159561510353228,1,0.12131546894031668697
6,6,4213,10.5995727510087823,1,0.14051744600047472110
6,7,4667,11.0582815513177630,1,0.14270409256481679880
6,8,5135,13.0087633885102240,2,0.16708860759493670886
6,9,6024,13.6112217795484728,2,0.18243691899070385126
6,10,6826,13.5908291825373572,2,0.17975388221506006446
6,11,7218,13.5473815461346633,2,0.18536990856192851205
6,12,7663,13.1666449171342816,2,0.18765496541824350776
6,13,7737,13.3964068760501486,2,0.18934987721339020292
6,14,7483,13.2560470399572364,2,0.18602164907122811707
6,15,7192,13.0875973303670745,2,0.18131256952169076752
6,16,6670,13.8835082458770615,2,0.18755622188905547226
6,17,6197,12.9591737937711796,2,0.19299661126351460384
6,18,5929,13.0259740259740260,2,0.18620340698262776185
6,19,5123,14.2740581690415772,2,0.19266055045871559633
6,20,4764,12.7842149454240134,2,0.18975650713685978170
6,21,4673,13.6336400599186818,2,0.19045580997218061203
6,22,4358,13.0906379072969252,2,0.19710876548875631023
6,23,4130,12.8382566585956416,2,0.18087167070217917676
